NO_OF_FRAMES	2899
NO_OF_CAMERAS	12
NO_OF_MARKERS	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-04-26, 10:53:16.025	4360.87523320
DATA_INCLUDED	3D
MARKER_NAMES	Osa L	Osa R
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	Osa L X	Osa L Y	Osa L Z	Osa R X	Osa R Y	Osa R Z	
1	0.00000	84.984	-1151.702	250.360	95.912	1060.949	235.115
2	0.01000	85.190	-1151.696	250.346	95.959	1060.943	235.092
3	0.02000	85.448	-1151.706	250.336	96.052	1060.931	235.100
4	0.03000	85.706	-1151.700	250.359	96.155	1060.936	235.110
5	0.04000	85.976	-1151.694	250.329	96.269	1060.933	235.097
6	0.05000	86.227	-1151.702	250.306	96.345	1060.910	235.086
7	0.06000	86.452	-1151.708	250.293	96.432	1060.911	235.102
8	0.07000	86.642	-1151.722	250.299	96.437	1060.924	235.045
9	0.08000	86.802	-1151.716	250.277	96.523	1060.935	235.086
10	0.09000	86.926	-1151.733	250.295	96.506	1060.891	235.069
11	0.10000	87.032	-1151.743	250.278	96.516	1060.881	235.068
12	0.11000	87.126	-1151.749	250.308	96.527	1060.887	235.048
13	0.12000	87.167	-1151.746	250.286	96.537	1060.881	235.059
14	0.13000	87.522	-1150.408	249.815	96.659	1059.907	234.967
15	0.14000	87.517	-1150.380	249.804	96.617	1059.919	234.975
16	0.15000	87.493	-1150.368	249.813	96.581	1059.914	234.973
17	0.16000	87.428	-1150.349	249.792	96.526	1059.929	234.999
18	0.17000	87.357	-1150.329	249.795	96.447	1059.929	235.009
19	0.18000	87.284	-1150.314	249.792	96.392	1059.927	234.993
20	0.19000	87.201	-1150.306	249.793	96.340	1059.905	234.987
21	0.20000	87.121	-1150.306	249.803	96.299	1059.893	234.998
22	0.21000	87.047	-1150.303	249.797	96.254	1059.881	235.009
23	0.22000	86.981	-1150.305	249.787	96.241	1059.886	234.998
24	0.23000	87.024	-1150.848	249.956	96.175	1060.127	235.228
25	0.24000	87.012	-1150.856	249.942	96.198	1060.130	235.233
26	0.25000	87.014	-1150.868	249.944	96.232	1060.119	235.228
27	0.26000	87.030	-1150.873	249.932	96.263	1060.081	235.240
28	0.27000	87.050	-1150.885	249.937	96.321	1060.077	235.241
29	0.28000	87.066	-1150.894	249.924	96.372	1060.059	235.207
30	0.29000	87.091	-1150.895	249.904	96.431	1060.055	235.214
31	0.30000	87.090	-1150.897	249.903	96.497	1060.045	235.207
32	0.31000	87.090	-1150.896	249.900	96.530	1060.050	235.177
33	0.32000	87.064	-1150.897	249.906	96.571	1060.045	235.207
34	0.33000	87.003	-1150.894	249.895	96.596	1060.034	235.193
35	0.34000	86.957	-1150.882	249.890	96.624	1060.064	235.201
36	0.35000	86.875	-1150.873	249.878	96.647	1060.073	235.193
37	0.36000	86.781	-1150.852	249.880	96.666	1060.043	235.173
38	0.37000	86.678	-1150.844	249.888	96.672	1060.064	235.194
39	0.38000	86.573	-1150.833	249.883	96.690	1060.056	235.180
40	0.39000	86.463	-1150.832	249.890	96.704	1060.079	235.199
41	0.40000	86.377	-1150.822	249.899	96.720	1060.069	235.174
42	0.41000	86.320	-1150.824	249.888	96.759	1060.123	235.193
43	0.42000	86.268	-1150.822	249.885	96.811	1060.091	235.197
44	0.43000	86.235	-1150.832	249.865	96.878	1060.076	235.193
45	0.44000	86.218	-1150.826	249.855	96.923	1060.057	235.170
46	0.45000	86.192	-1150.843	249.860	97.007	1060.054	235.167
47	0.46000	86.161	-1150.862	249.860	97.069	1060.035	235.144
48	0.47000	86.146	-1150.856	249.838	97.135	1059.999	235.157
49	0.48000	86.118	-1150.866	249.830	97.206	1060.004	235.139
50	0.49000	86.081	-1150.886	249.808	97.274	1060.005	235.153
51	0.50000	86.034	-1150.894	249.798	97.318	1059.983	235.154
52	0.51000	85.983	-1150.903	249.786	97.361	1059.987	235.137
53	0.52000	85.948	-1150.887	249.782	97.394	1059.958	235.149
54	0.53000	85.893	-1150.902	249.777	97.435	1059.949	235.134
55	0.54000	85.835	-1150.892	249.776	97.482	1059.981	235.125
56	0.55000	85.770	-1150.887	249.773	97.497	1059.975	235.103
57	0.56000	85.714	-1150.872	249.769	97.536	1059.948	235.105
58	0.57000	85.661	-1150.861	249.763	97.561	1059.984	235.103
59	0.58000	85.607	-1150.855	249.773	97.623	1059.976	235.097
60	0.59000	85.551	-1150.857	249.777	97.653	1060.005	235.115
61	0.60000	85.496	-1150.855	249.781	97.691	1059.989	235.099
62	0.61000	85.452	-1150.862	249.766	97.707	1059.988	235.102
63	0.62000	85.409	-1150.865	249.760	97.723	1059.960	235.098
64	0.63000	85.353	-1150.871	249.760	97.763	1059.957	235.088
65	0.64000	85.304	-1150.863	249.743	97.782	1059.946	235.090
66	0.65000	85.263	-1150.877	249.726	97.811	1059.947	235.078
67	0.66000	85.209	-1150.893	249.739	97.855	1059.952	235.096
68	0.67000	85.186	-1150.895	249.745	97.888	1059.947	235.099
69	0.68000	85.175	-1150.892	249.734	97.921	1059.926	235.108
70	0.69000	85.148	-1150.889	249.743	97.955	1059.912	235.093
71	0.70000	85.125	-1150.880	249.753	97.984	1059.920	235.096
72	0.71000	85.097	-1150.869	249.740	97.999	1059.924	235.106
73	0.72000	85.075	-1150.855	249.732	98.021	1059.915	235.106
74	0.73000	85.048	-1150.858	249.757	98.043	1059.951	235.098
75	0.74000	85.049	-1150.836	249.760	98.079	1059.955	235.084
76	0.75000	85.050	-1150.834	249.785	98.100	1059.972	235.085
77	0.76000	85.047	-1150.827	249.804	98.128	1059.961	235.082
78	0.77000	85.034	-1150.827	249.793	98.147	1059.984	235.113
79	0.78000	85.023	-1150.813	249.793	98.141	1059.971	235.110
80	0.79000	85.006	-1150.803	249.777	98.134	1059.972	235.122
81	0.80000	84.996	-1150.807	249.785	98.131	1059.986	235.126
