NO_OF_FRAMES	3347
NO_OF_CAMERAS	12
NO_OF_MARKERS	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-04-26, 10:49:40.111	4144.96197230
DATA_INCLUDED	3D
MARKER_NAMES	Osa L	Osa R
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	Osa L X	Osa L Y	Osa L Z	Osa R X	Osa R Y	Osa R Z	
1	0.00000	119.470	-1152.555	1519.442	18.461	1056.038	1512.264
2	0.01000	119.404	-1152.317	1519.752	18.173	1056.250	1511.710
3	0.02000	119.342	-1152.097	1520.063	17.878	1056.492	1511.168
4	0.03000	119.271	-1151.868	1520.397	17.609	1056.736	1510.666
5	0.04000	119.211	-1151.626	1520.731	17.346	1056.945	1510.203
6	0.05000	119.152	-1151.401	1521.068	17.087	1057.182	1509.761
7	0.06000	119.117	-1151.165	1521.423	16.840	1057.393	1509.327
8	0.07000	119.079	-1150.934	1521.778	16.587	1057.593	1508.920
9	0.08000	119.054	-1150.691	1522.150	16.343	1057.812	1508.545
10	0.09000	119.013	-1150.461	1522.524	16.126	1058.043	1508.225
11	0.10000	118.991	-1150.220	1522.869	15.898	1058.266	1507.863
12	0.11000	118.971	-1149.998	1523.190	15.636	1058.503	1507.529
13	0.12000	118.976	-1149.783	1523.460	15.370	1058.705	1507.187
14	0.13000	118.992	-1149.579	1523.713	15.129	1058.923	1506.836
15	0.14000	119.021	-1149.369	1523.935	14.849	1059.110	1506.465
16	0.15000	119.062	-1149.180	1524.108	14.610	1059.259	1506.104
17	0.16000	119.098	-1148.994	1524.267	14.338	1059.391	1505.766
18	0.17000	119.147	-1148.835	1524.415	14.087	1059.543	1505.428
19	0.18000	119.198	-1148.687	1524.564	13.835	1059.686	1505.111
20	0.19000	119.253	-1148.546	1524.700	13.580	1059.821	1504.824
21	0.20000	119.339	-1148.430	1524.815	13.316	1059.949	1504.577
22	0.21000	119.456	-1148.304	1524.920	13.010	1060.050	1504.332
23	0.22000	119.571	-1148.206	1525.024	12.742	1060.111	1504.125
24	0.23000	119.899	-1147.467	1524.998	12.478	1060.011	1504.044
25	0.24000	120.040	-1147.367	1525.092	12.210	1060.041	1503.877
26	0.25000	120.196	-1147.297	1525.186	11.956	1060.079	1503.769
27	0.26000	120.352	-1147.221	1525.283	11.711	1060.113	1503.702
28	0.27000	120.559	-1147.158	1525.364	11.473	1060.157	1503.623
29	0.28000	120.785	-1147.100	1525.436	11.218	1060.177	1503.603
30	0.29000	121.024	-1147.048	1525.504	10.980	1060.209	1503.604
31	0.30000	121.274	-1147.010	1525.593	10.744	1060.226	1503.653
32	0.31000	121.529	-1146.980	1525.651	10.475	1060.235	1503.683
33	0.32000	121.809	-1146.929	1525.675	10.206	1060.220	1503.753
34	0.33000	122.078	-1146.893	1525.703	9.963	1060.201	1503.836
35	0.34000	122.347	-1146.879	1525.731	9.733	1060.191	1503.905
36	0.35000	122.656	-1146.846	1525.719	9.492	1060.189	1504.003
37	0.36000	122.936	-1146.821	1525.703	9.222	1060.202	1504.117
38	0.37000	123.238	-1146.792	1525.662	8.977	1060.204	1504.247
39	0.38000	123.551	-1146.749	1525.599	8.705	1060.233	1504.348
40	0.39000	123.845	-1146.726	1525.511	8.439	1060.229	1504.471
41	0.40000	124.140	-1146.686	1525.389	8.171	1060.206	1504.581
42	0.41000	124.428	-1146.649	1525.265	7.861	1060.188	1504.705
43	0.42000	124.710	-1146.591	1525.102	7.564	1060.196	1504.812
44	0.43000	124.996	-1146.543	1524.921	7.302	1060.221	1504.915
45	0.44000	125.262	-1146.500	1524.705	7.025	1060.259	1505.002
46	0.45000	125.565	-1146.441	1524.466	6.748	1060.309	1505.116
47	0.46000	125.810	-1146.380	1524.221	6.447	1060.327	1505.245
48	0.47000	126.068	-1146.308	1523.999	6.174	1060.377	1505.370
49	0.48000	126.316	-1146.233	1523.766	5.885	1060.424	1505.510
50	0.49000	126.550	-1146.177	1523.524	5.589	1060.442	1505.671
51	0.50000	126.785	-1146.101	1523.268	5.264	1060.470	1505.824
52	0.51000	127.014	-1146.025	1523.022	4.976	1060.506	1506.026
53	0.52000	127.255	-1145.952	1522.772	4.717	1060.563	1506.215
54	0.53000	127.462	-1145.867	1522.532	4.453	1060.646	1506.406
55	0.54000	127.648	-1145.795	1522.259	4.156	1060.718	1506.623
56	0.55000	127.825	-1145.706	1522.042	3.843	1060.781	1506.867
57	0.56000	127.986	-1145.622	1521.847	3.534	1060.829	1507.157
58	0.57000	128.166	-1145.535	1521.640	3.232	1060.875	1507.513
59	0.58000	128.352	-1145.450	1521.428	2.943	1060.933	1507.832
60	0.59000	128.531	-1145.356	1521.212	2.639	1060.987	1508.216
61	0.60000	128.695	-1145.282	1520.997	2.352	1061.041	1508.579
62	0.61000	128.861	-1145.200	1520.770	2.094	1061.102	1508.939
63	0.62000	129.005	-1145.121	1520.520	1.832	1061.169	1509.302
64	0.63000	129.157	-1145.042	1520.262	1.549	1061.260	1509.674
65	0.64000	129.285	-1144.959	1519.987	1.244	1061.305	1510.083
66	0.65000	129.400	-1144.877	1519.694	0.932	1061.373	1510.436
67	0.66000	129.517	-1144.789	1519.378	0.631	1061.419	1510.765
68	0.67000	129.607	-1144.714	1519.023	0.321	1061.458	1511.129
